,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in,Car_Make
0, Hyundai Tucson 1.6 GDi SE Manual 5dr     ,13699,2018,SUV,19228,1.6L,132PS,Manual,Petrol,Hyundai
1, BMW 2 Series 3.0 M235i Sport Auto (s/s) 2dr     ,19000,2016,Coupe,12000,3.0L,326BHP,Automatic,Petrol,BMW
2, Nissan Note 1.6 16v Acenta 5dr     ,1205,2007,Hatchback,70699,1.6L,109BHP,Manual,Petrol,Nissan
3, Volkswagen Touareg 5.0 TDI V10 5dr     ,5750,2005,SUV,137000,5.0L,307BHP,Automatic,Diesel,Volkswagen
5, Mercedes-Benz E Class 3.0 E320 CDI Sport G-Tronic 4dr     ,5250,2009,Saloon,80040,3.0L,221BHP,Automatic,Diesel,Mercedes-Benz
6, Toyota Auris 1.4 D-4D TR 5dr     ,3200,2010,Hatchback,87600,1.4L,90BHP,Manual,Diesel,Toyota
8, Jaguar XJ 5.0 V8 Supercharged Supersport 4dr     ,15450,2010,Saloon,90000,5.0L,503BHP,Automatic,Petrol,Jaguar
9, Smart Fortwo 1.0 Passion 2dr     ,3350,2008,Coupe,44461,1.0L,84BHP,Automatic,Petrol,Smart
10, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,3995,2012,Coupe,32630,1.0L,71BHP,Automatic,Petrol,Smart
11, BMW X5 xDrive40d M Sport 5dr Auto 3.0     ,12495,2011,SUV,94000,3.0L,299BHP,Automatic,Diesel,BMW
12, Suzuki Swift 1.2 DualJet SZ3 5dr     ,8695,2019,Hatchback,5047,1.2L,90PS,Manual,Petrol,Suzuki
13, Smart Fortwo Coupe 1.0 Passion 2dr Bluetooth     ,5999,2016,Coupe,14272,1.0L,71PS,Manual,Petrol,Smart
14, BMW X5 3.0 d Sport 5dr     ,2995,2005,SUV,192842,3.0L,218BHP,Manual,Diesel,BMW
15, Mercedes-Benz CL 5.0 CL500 2dr     ,5500,2004,Coupe,136800,5.0L,302BHP,Automatic,Petrol,Mercedes-Benz
16, BMW X5 3.0 30sd M Sport 5dr     ,7950,2007,SUV,110000,3.0L,286BHP,Automatic,Diesel,BMW
17, Mercedes-Benz C Class 1.8 C180 Kompressor Classic SE 5dr     ,595,2005,Estate,138000,1.8L,143BHP,Automatic,Petrol,Mercedes-Benz
18, Volkswagen Sharan 1.9 TDI PD Sport 5dr     ,795,2004,MPV,96000,1.9L,115BHP,Automatic,Diesel,Volkswagen
19, Jeep Cherokee 2.5 TD Sport 4x4 5dr     ,795,1995,SUV,80000,2.5L,114BHP,Manual,Diesel,Jeep
20, Toyota Corolla Verso 2.0 D-4D T Spirit 5dr     ,895,2004,MPV,114000,2.0L,114BHP,Manual,Diesel,Toyota
21, Lexus IS 200 2.0 SE 4dr     ,1195,2001,Saloon,93000,2.0L,153BHP,Automatic,Petrol,Lexus
22, Daihatsu Materia 1.5 5dr     ,1195,2007,MPV,115000,1.5L,102BHP,Automatic,Petrol,Daihatsu
25, Hyundai ix35 1.7 CRDi Blue Drive Premium 5dr [Leather] 2WD …     ,8499,2014,SUV,44016,1.7L,114BHP,Manual,Diesel,Hyundai
26, Honda Civic 1.0 VTEC Turbo SR CVT (s/s) 5dr     ,12395,2017,Hatchback,21000,1.0L,129PS,Automatic,Petrol,Honda
27, Mercedes-Benz E Class 3.0 E350 CDI BlueEFFICIENCY Sport …     ,11750,2013,Coupe,53400,3.0L,264BHP,Automatic,Diesel,Mercedes-Benz
28, Ford Focus 2.0T EcoBoost ST-3 (s/s) 5dr     ,14000,2015,Hatchback,37400,2.0L,250PS,Manual,Petrol,Ford
30, Vauxhall Astra 1.6i 16V SRi 5dr     ,3995,2010,Hatchback,65270,1.6L,115PS,Manual,Petrol,Vauxhall
31, Fiat 500 1.2 Lounge 3dr [Start Stop]     ,5495,2015,Hatchback,34368,1.2L,69BHP,Manual,Petrol,Fiat
32, Hyundai i20 1.2 SE 5dr     ,7995,2017,Hatchback,34945,1.2L,84PS,Manual,Petrol,Hyundai
33, Vauxhall Mokka 1.6i Tech Line 5dr     ,8995,2014,Hatchback,14678,1.6L,113BHP,Manual,Petrol,Vauxhall
34, Vauxhall Astra 1.6 CDTi 16V ecoFLEX SRi 5dr     ,10294,2017,Estate,21648,1.6L,110PS,Manual,Diesel,Vauxhall
35, Vauxhall Corsa 1.4 Energy 5dr [AC] Auto     ,10495,2017,Hatchback,15566,1.4L,90PS,Automatic,Petrol,Vauxhall
36, Vauxhall Astra 1.4T 16V 150 Elite 5dr     ,10795,2016,Hatchback,33123,1.4L,150PS,Manual,Petrol,Vauxhall
38, Volkswagen Scirocco 1.4 TSI 122 3dr [Nav] Satellite Navigation     ,7949,2013,Coupe,67547,1.4L,123BHP,Manual,Petrol,Volkswagen
39, Isuzu D-Max 1.9 TD Utah Double Cab Pickup 4WD EU6 4dr     ,22800,2017,Pickup,8000,1.9L,164PS,Manual,Diesel,Isuzu
40, Peugeot 5008 1.6 HDi FAP Allure 5dr     ,5001,2012,MPV,66000,1.6L,112BHP,Manual,Diesel,Peugeot
41, Land Rover 90 2.5 TD Hard Top     ,22000,1990,SUV,76050,2.5L,85BHP,Manual,Diesel,Land
43, SEAT Ibiza 1.4 16v Toca 5dr     ,5994,2014,Hatchback,30700,1.4L,84BHP,Manual,Petrol,SEAT
44, Toyota RAV4 2.0 D-4D XT3 4WD 5dr     ,3995,2005,SUV,83000,2.0L,114BHP,Manual,Diesel,Toyota
45, Land Rover Discovery 2.5 TD5 Pursuit 5dr (5 Seats)     ,5295,2004,SUV,92000,2.5L,136BHP,Manual,Diesel,Land
47, Vauxhall Zafira 1.7 CDTi ecoFLEX 16v Life 5dr     ,6795,2011,MPV,26000,1.7L,123BHP,Manual,Diesel,Vauxhall
48, Nissan Note 1.5 dCi Tekna (Safety Pack) 5dr     ,6795,2013,Hatchback,43000,1.5L,89BHP,Manual,Diesel,Nissan
49, Volkswagen Polo 1.6 TDI SE 5dr     ,3495,2010,Hatchback,98000,1.6L,75BHP,Manual,Diesel,Volkswagen
50, Vauxhall Insignia 2.0 CDTi [170] ecoFLEX SRi Nav 5dr [Start …     ,8749,2015,Hatchback,42579,2.0L,168BHP,Manual,Diesel,Vauxhall
51, Toyota Yaris 1.33 Icon 5-Dr 5dr     ,10250,2017,Hatchback,23021,1.33L,99PS,Automatic,Petrol,Toyota
52, Mercedes-Benz E Class 2.1 E220 CDI BlueTEC SE 7G-Tronic Plus 4dr     ,10450,2015,Saloon,89090,2.1L,177BHP,Automatic,Diesel,Mercedes-Benz
54, Fiat 500 1.3 MultiJet 16v Pop (s/s) 3dr     ,4550,2013,Hatchback,80000,1.3L,95BHP,Manual,Diesel,Fiat
55, BMW 1 Series 1.6 116d EfficientDynamics Sports Hatch (s/s) 5dr     ,6400,2014,Hatchback,69995,1.6L,116BHP,Manual,Diesel,BMW
56, Audi A8 3.0 TDI SE Tiptronic quattro 4dr LWB     ,12900,2011,Saloon,59527,3.0L,246BHP,Automatic,Diesel,Audi
57, Bentley Continental 6.0 GT 2dr     ,21490,2005,Coupe,59856,6.0L,552BHP,Automatic,Petrol,Bentley
59, Mercedes-Benz E Class 2.1 E220 CDI BlueEFFICIENCY Sport …     ,5995,2013,Saloon,140000,2.1L,175BHP,Automatic,Diesel,Mercedes-Benz
60, BMW 3 Series 3.0 330Ci 2dr     ,5995,2003,Convertible,107000,3.0L,231BHP,Manual,Petrol,BMW
61, Honda Accord 2.2 i-DTEC ES 4dr     ,3135,2009,Saloon,108000,2.2L,148BHP,Automatic,Diesel,Honda
63, Volkswagen Polo 1.0 EVO SE (s/s) 5dr     ,12000,2019,Hatchback,13500,1.0L,80PS,Manual,Petrol,Volkswagen
64, Ford Kuga 1.5T EcoBoost Titanium Auto AWD (s/s) 5dr     ,12450,2017,SUV,48000,1.5L,182PS,Automatic,Petrol,Ford
65, Volkswagen Beetle 1.6 Luna Cabriolet 2dr     ,4495,2011,Convertible,60000,1.6L,102BHP,Manual,Petrol,Volkswagen
66, Ford Fiesta 1.4 Titanium 5dr     ,3150,2009,Hatchback,76476,1.4L,94BHP,Manual,Petrol,Ford
67, Nissan 350 Z 3.5 V6 GT 2dr     ,5995,2008,Convertible,71000,3.5L,296BHP,Manual,Petrol,Nissan
68, Rover 75 2.0 CDT Classic 4dr     ,600,2004,Saloon,160000,2.0L,114BHP,Automatic,Diesel,Rover
69, BMW X3 2.0 20d SE xDrive 5dr     ,10755,2011,SUV,58000,2.0L,184BHP,Automatic,Diesel,BMW
70," Nissan Micra 1.2 Acenta Hatchback 5dr Petrol Manual (115 g/km, …     ",4991,2014,Hatchback,30999,1.2L,79BHP,Manual,Petrol,Nissan
71, SKODA Citigo 1.0 SE 3dr     ,5189,2017,Hatchback,46403,1.0L,59BHP,Manual,Petrol,SKODA
72, Vauxhall Astra 1.4 16v SRi 5dr     ,5408,2013,Hatchback,40948,1.4L,100PS,Manual,Petrol,Vauxhall
74, Vauxhall Insignia 2.0 CDTi [163] SRi Vx-line Nav 5dr Auto …     ,8499,2015,Estate,39074,2.0L,161BHP,Automatic,Diesel,Vauxhall
75, Jaguar XF 3.0 TD V6 S Premium Luxury (s/s) 4dr     ,11500,2013,Saloon,57950,3.0L,271BHP,Automatic,Diesel,Jaguar
77, BMW M3 4.0 V8 2dr     ,16900,2008,Coupe,42000,4.0L,420BHP,Manual,Petrol,BMW
78, Audi Q5 2.0 TDI S line Plus S Tronic quattro (s/s) 5dr     ,18500,2014,SUV,50500,2.0L,175BHP,Automatic,Diesel,Audi
81, Mercedes-Benz C Class 2.1 C220 CDI BlueTEC Sport (s/s) 4dr     ,10995,2014,Saloon,55000,2.1L,170PS,Manual,Diesel,Mercedes-Benz
82, Honda S2000 2.0 i-VTEC Roadster 2dr     ,10495,2005,Convertible,68100,2.0L,236BHP,Manual,Petrol,Honda
83, Jaguar S-Type 2.7 D V6 SE 4dr     ,1995,2004,Saloon,120000,2.7L,206BHP,Automatic,Diesel,Jaguar
84, Citroen DS3 1.6 VTi Black 3dr     ,3495,2010,Hatchback,64300,1.6L,118BHP,Manual,Petrol,Citroen
85, Audi Q5 2.0 TDI S line Plus S Tronic quattro (s/s) 5dr     ,19249,2016,SUV,42776,2.0L,187BHP,Automatic,Diesel,Audi
86, Fiat 500L 1.6 Multijet 105 Lounge 5dr Bluetooth     ,6349,2014,MPV,49569,1.6L,105BHP,Manual,Diesel,Fiat
87, KIA Ceed 1.6 CRDi 2 5dr     ,3199,2011,Estate,68000,1.6L,113BHP,Manual,Diesel,KIA
91, SKODA Yeti 2.0 TDI Laurin & Klement Outdoor DSG 4WD (s/s) 5dr     ,15000,2016,SUV,9770,2.0L,150PS,Automatic,Diesel,SKODA
93, Audi A5 3.0 TDI Sport Tiptronic quattro 2dr     ,7499,2008,Coupe,61600,3.0L,242BHP,Automatic,Diesel,Audi
94, Mazda3 2.2 TD SKYACTIV-D SE-L Nav Fastback 4dr     ,7999,2015,Saloon,33200,2.2L,148BHP,Manual,Diesel,Mazda3
95, Peugeot 207 1.6 HDi Sport 5dr     ,950,2007,Hatchback,101560,1.6L,90BHP,Manual,Diesel,Peugeot
96, SKODA Octavia 1.9 TDI PD Ambiente SE 5dr     ,800,2004,Hatchback,188828,1.9L,130BHP,Manual,Diesel,SKODA
98, Ford Focus ZETEC NAVIGATOR 1.6TDCI 5dr     ,7495,2014,Hatchback,32500,1.6L,113BHP,Manual,Diesel,Ford
99, Honda Civic 1.8 i-VTEC Sport 5dr [Nav] Satellite Navigation     ,8583,2015,Hatchback,63930,1.8L,142PS,Manual,Petrol,Honda
100, Nissan Qashqai 1.5 dCi Acenta (s/s) 5dr     ,13950,2019,SUV,4700,1.5L,115PS,Manual,Diesel,Nissan
101, Honda Cr-V 2.2 i-DTEC S 4x4 5dr (dab)     ,9350,2014,SUV,54000,2.2L,148BHP,Automatic,Diesel,Honda
103, Renault Grand Scenic 1.6 VVT Expression 5dr     ,600,2004,MPV,114780,1.6L,115BHP,Manual,Petrol,Renault
104, Mitsubishi L200 2.5 TD Warrior Crewcab Pickup 4dr     ,3300,2005,Pickup,125000,2.5L,113BHP,Manual,Diesel,Mitsubishi
105, Volvo C30 1.6 D R-Design Sport 2dr     ,2650,2009,Coupe,82500,1.6L,108BHP,Manual,Diesel,Volvo
106, Volkswagen Golf 3.2 V6 R32 4MOTION 5dr     ,8000,2007,Hatchback,82000,3.2L,247BHP,Manual,Petrol,Volkswagen
107, BMW M3 3.2 Sequential 2dr     ,9000,2002,Convertible,88850,3.2L,343BHP,Automatic,Petrol,BMW
108, Volkswagen UP! 1.0 Move up! 5dr     ,4750,2015,Hatchback,20310,1.0L,59BHP,Manual,Petrol,Volkswagen
109, BMW Z4 2.0 20i M Sport sDrive 2dr     ,9495,2012,Convertible,66000,2.0L,184BHP,Manual,Petrol,BMW
112, MINI Hatchback 1.6 Cooper 3dr     ,3900,2010,Hatchback,52040,1.6L,120BHP,Manual,Petrol,MINI
114, Ford Fiesta 1.6 EcoBoost ST-2 3dr     ,8999,2016,Hatchback,43000,1.6L,180BHP,Manual,Petrol,Ford
115, MINI Hatch 1.6 Cooper 3dr     ,2995,2003,Hatchback,105500,1.6L,116BHP,Manual,Petrol,MINI
116, Audi A6 Saloon 2.0 TDI ultra Black Edition (s/s) 4dr     ,14650,2014,Saloon,34400,2.0L,190PS,Manual,Diesel,Audi
117, Ford Tourneo Custom 2.0 TDCi 310 L1 Titanium Bus 5dr (8 Seats)     ,18000,2017,Minibus,28000,2.0L,168BHP,Manual,Diesel,Ford
119, Volvo XC70 2.4 D5 ES AWD 5dr     ,6995,2011,Estate,104500,2.4L,202BHP,Manual,Diesel,Volvo
120, Mercedes-Benz A Class 2.1 A200 CDI Sport 5dr     ,10800,2014,Hatchback,35700,2.1L,134BHP,Manual,Diesel,Mercedes-Benz
121, Volvo XC90 2.4 D5 Active Geartronic AWD 5dr     ,6000,2010,SUV,99000,2.4L,182BHP,Automatic,Diesel,Volvo
122, Audi A3 2.0 S line Sportback quattro 5dr     ,6000,2008,Hatchback,54116,2.0L,197BHP,Manual,Petrol,Audi
123, Peugeot 3008 1.6 BlueHDi Allure (s/s) 5dr     ,15595,2017,SUV,35757,1.6L,120PS,Manual,Diesel,Peugeot
124, Fiat 500 1.2 S 3dr     ,6150,2015,Hatchback,19468,1.2L,69BHP,Manual,Petrol,Fiat
125, MINI Hatch 1.2 One 3dr [Pepper Pack] Bluetooth     ,9149,2016,Hatchback,28611,1.2L,102PS,Manual,Petrol,MINI
126, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,4250,2012,Coupe,24288,1.0L,71BHP,Automatic,Petrol,Smart
127, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,4350,2011,Coupe,26933,1.0L,71BHP,Automatic,Petrol,Smart
128, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,4550,2011,Coupe,10249,1.0L,71BHP,Automatic,Petrol,Smart
129, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,5075,2013,Coupe,12488,1.0L,71BHP,Automatic,Petrol,Smart
131, Mercedes-Benz SLK 1.8 SLK200 Kompressor 2dr     ,8750,2009,Convertible,32000,1.8L,184BHP,Automatic,Petrol,Mercedes-Benz
133, Volvo C30 1.6 D2 R-Design 2dr     ,4700,2011,Coupe,82500,1.6L,113BHP,Manual,Diesel,Volvo
135, Fiat Panda 1.1 Active 5dr     ,1495,2008,Hatchback,59000,1.1L,54BHP,Manual,Petrol,Fiat
136, Land Rover Range Rover 4.0 V8 HSE 5dr     ,3995,2000,SUV,92000,4.0L,182BHP,Automatic,Petrol,Land
139, Jaguar X-Type 2.2 D DPF SE 5dr     ,3495,2009,Estate,95277,2.2L,143BHP,Automatic,Diesel,Jaguar
140, Ford Mondeo 2.0 TDCi Titanium X Business Powershift 5dr     ,3500,2014,Hatchback,149797,2.0L,161BHP,Automatic,Diesel,Ford
141, BMW 5 Series 2.0 520d SE Touring 5dr     ,3500,2006,Estate,117283,2.0L,163BHP,Automatic,Diesel,BMW
142, Ford Fiesta 1.4 Titanium 5dr     ,3750,2011,Hatchback,99995,1.4L,94BHP,Automatic,Petrol,Ford
143, BMW 5 Series 2.5 525i M Sport Touring 5dr     ,3990,2006,Estate,125000,2.5L,215BHP,Automatic,Petrol,BMW
144, BMW 3 Series 2.0 320d SE Business Edition Touring 5dr     ,3990,2008,Estate,116364,2.0L,177BHP,Automatic,Diesel,BMW
145, BMW Z4 2.5 i SE Roadster 2dr     ,3995,2004,Convertible,83000,2.5L,192BHP,Manual,Petrol,BMW
146, SKODA Octavia 1.8 TSI Laurin & Klement DSG 5dr     ,4500,2010,Hatchback,85000,1.8L,160BHP,Automatic,Petrol,SKODA
