,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in
0, Hyundai Tucson 1.6 GDi SE Manual 5dr     ,"£13,699",2018,SUV,"19,228",1.6L,132PS,Manual,Petrol
1, BMW 2 Series 3.0 M235i Sport Auto (s/s) 2dr     ,"£19,000",2016,Coupe,"12,000",3.0L,326BHP,Automatic,Petrol
2, Nissan Note 1.6 16v Acenta 5dr     ,"£1,205",2007,Hatchback,"70,699",1.6L,109BHP,Manual,Petrol
3, Volkswagen Touareg 5.0 TDI V10 5dr     ,"£5,750",2005,SUV,"137,000",5.0L,307BHP,Automatic,Diesel
4, Audi A1 2.0 TDI Amplified Edition Sportback 5dr     ,"£35,000",2012,Hatchback,"95,000",2.0L,141BHP,Manual,Diesel
5, Mercedes-Benz E Class 3.0 E320 CDI Sport G-Tronic 4dr     ,"£5,250",2009,Saloon,"80,040",3.0L,221BHP,Automatic,Diesel
6, Toyota Auris 1.4 D-4D TR 5dr     ,"£3,200",2010,Hatchback,"87,600",1.4L,90BHP,Manual,Diesel
7, BMW M6 4.4 V8 DCT (s/s) 2dr     ,"£31,500",2016,Convertible,"44,800",4.4L,560PS,Automatic,Petrol
8, Jaguar XJ 5.0 V8 Supercharged Supersport 4dr     ,"£15,450",2010,Saloon,"90,000",5.0L,503BHP,Automatic,Petrol
9, Smart Fortwo 1.0 Passion 2dr     ,"£3,350",2008,Coupe,"44,461",1.0L,84BHP,Automatic,Petrol
10, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,"£3,995",2012,Coupe,"32,630",1.0L,71BHP,Automatic,Petrol
11, BMW X5 xDrive40d M Sport 5dr Auto 3.0     ,"£12,495",2011,SUV,"94,000",3.0L,299BHP,Automatic,Diesel
12, Suzuki Swift 1.2 DualJet SZ3 5dr     ,"£8,695",2019,Hatchback,"5,047",1.2L,90PS,Manual,Petrol
13, Smart Fortwo Coupe 1.0 Passion 2dr Bluetooth     ,"£5,999",2016,Coupe,"14,272",1.0L,71PS,Manual,Petrol
14, BMW X5 3.0 d Sport 5dr     ,"£2,995",2005,SUV,"192,842",3.0L,218BHP,Manual,Diesel
15, Mercedes-Benz CL 5.0 CL500 2dr     ,"£5,500",2004,Coupe,"136,800",5.0L,302BHP,Automatic,Petrol
16, BMW X5 3.0 30sd M Sport 5dr     ,"£7,950",2007,SUV,"110,000",3.0L,286BHP,Automatic,Diesel
17, Mercedes-Benz C Class 1.8 C180 Kompressor Classic SE 5dr     ,£595,2005,Estate,"138,000",1.8L,143BHP,Automatic,Petrol
18, Volkswagen Sharan 1.9 TDI PD Sport 5dr     ,£795,2004,MPV,"96,000",1.9L,115BHP,Automatic,Diesel
19, Jeep Cherokee 2.5 TD Sport 4x4 5dr     ,£795,1995,SUV,"80,000",2.5L,114BHP,Manual,Diesel
20, Toyota Corolla Verso 2.0 D-4D T Spirit 5dr     ,£895,2004,MPV,"114,000",2.0L,114BHP,Manual,Diesel
21, Lexus IS 200 2.0 SE 4dr     ,"£1,195",2001,Saloon,"93,000",2.0L,153BHP,Automatic,Petrol
22, Daihatsu Materia 1.5 5dr     ,"£1,195",2007,MPV,"115,000",1.5L,102BHP,Automatic,Petrol
23, Toyota Corolla Allion 1.5 Automatic 4dr     ,"£1,395",,,,,,,
24, Porsche 911 3.8 991 Carrera GTS PDK (s/s) 2dr     ,"£69,990",2015,Coupe,"39,000",3.8L,436PS,Automatic,Petrol
25, Hyundai ix35 1.7 CRDi Blue Drive Premium 5dr [Leather] 2WD …     ,"£8,499",2014,SUV,"44,016",1.7L,114BHP,Manual,Diesel
